Files,DNE,RFI,OPCR,Slope,alpha,Modified in v2
UF-H-108856-84-23-L_aligned.ply,710.5401116,0.019111983,1219.62,163.4551339,,
UF-H-108856-84-64-R_aligned.ply,1759.773004,0.044309641,1591.12,156.8880237,,
UF-H-108856-86-43-L_aligned.ply,1160.112352,0.028379791,1514.5,18.97673729,,
UF-H-108856-87-63-L_aligned.ply,1287.88533,0.032216128,1488,159.9057041,,
UF-H-120930-10-23-R_aligned.ply,1069.192482,0.051219433,959.5,155.9737833,,TRUE
UF-H-120930-112-28-L_aligned.ply,814.5130943,0.034756089,983.12,21.31601914,,
UF-H-120930-113-24-R_aligned.ply,990.3862023,0.037547188,1079.88,21.2155318,,
UF-H-120930-113-70-R_aligned.ply,3372.804265,0.07332536,1510.25,153.2001471,,
UF-H-120930-115-43-R_aligned.ply,1226.740079,0.037334468,1066.62,160.1118281,,
UF-H-120930-116-65-L_aligned.ply,1198.301057,0.041950311,1118,157.855785,,
UF-H-120930-117-47-L_aligned.ply,952.979516,0.037410271,1032.75,158.0668962,,
UF-H-120930-12-52-L_aligned.ply,2372.525452,0.077239884,1377.5,28.90070956,,
UF-H-120930-13-43-R_aligned.ply,2164.748543,0.082375524,1245.75,149.6084816,,
UF-H-120930-13-45-L_aligned.ply,2266.022126,0.076625474,1274.25,151.2894686,,
UF-H-120930-138-62-L_aligned.ply,1388.401316,0.049004708,1088.62,156.0898104,,
UF-H-120930-141-35-L_aligned.ply,846.3342245,0.039287514,953.25,158.7033729,,
UF-H-120930-145-45-L_aligned.ply,972.4158852,0.03930168,1003.25,21.66686412,,
UF-H-120930-15-27-L_aligned.ply,1315.546158,0.044503941,1051.12,21.71883945,,
UF-H-120930-34-52-R_aligned.ply,1380.703422,0.053184726,1109.75,24.85536864,,
UF-H-120930-38-22-R_aligned.ply,952.0201679,0.03396551,1041.88,159.9470252,,
UF-H-120930-39-45-L_aligned.ply,1279.829301,0.04948119,1128.38,155.8534458,,
UF-H-120930-40-28-L_aligned.ply,932.772406,0.035029342,993.5,159.6063645,,
UF-H-120930-40-67-R_aligned.ply,1660.784823,0.062529409,1182.5,26.2675244,,
UF-H-120930-46-67-L_aligned.ply,2007.932694,0.060196526,1393.88,154.0422366,,
